length, width, pattern, capture, instantiation, first_launch_api, first_launch_total, repeat_launch_api, repeat_launch_total, first_launch_device, blockingKernelTimeoutDetected, repeat_launch_device, blockingKernelTimeoutDetected, upload_api_time, upload_device_time, blockingKernelTimeoutDetected, 
16, 1, 0, 10.487, 15.441, 7.641, 24.567, 4.231, 18.869, 18.592, 0.000, 15.936, 0.000, 7.180, 8.608, 0.000, 
16, 1, 0, 10.446, 15.368, 7.879, 24.491, 4.918, 19.600, 18.848, 0.000, 16.000, 0.000, 6.638, 7.904, 0.000, 
16, 1, 0, 10.378, 15.588, 7.584, 23.861, 4.249, 18.775, 18.688, 0.000, 16.096, 0.000, 6.725, 8.192, 0.000, 
16, 1, 0, 10.431, 14.995, 8.019, 23.782, 4.759, 19.995, 19.232, 0.000, 16.064, 0.000, 6.162, 8.416, 0.000, 
16, 1, 0, 10.420, 15.434, 7.884, 23.920, 4.359, 19.451, 19.168, 0.000, 16.064, 0.000, 6.218, 8.064, 0.000, 
16, 1, 0, 10.520, 15.210, 7.716, 24.026, 4.335, 19.688, 19.296, 0.000, 15.744, 0.000, 6.575, 8.000, 0.000, 
17, 1, 0, 10.917, 19.592, 8.702, 23.991, 5.221, 20.862, 19.968, 0.000, 18.240, 0.000, 7.747, 8.928, 0.000, 
17, 1, 0, 10.966, 16.500, 9.136, 24.095, 5.293, 21.461, 20.256, 0.000, 18.080, 0.000, 7.115, 9.344, 0.000, 
17, 1, 0, 11.050, 18.543, 8.796, 25.786, 5.152, 22.301, 20.160, 0.000, 17.920, 0.000, 7.615, 8.992, 0.000, 
17, 1, 0, 11.044, 16.354, 8.985, 25.237, 5.268, 21.963, 20.352, 0.000, 18.048, 0.000, 7.508, 9.056, 0.000, 
17, 1, 0, 10.928, 16.184, 8.586, 24.763, 5.347, 21.707, 20.640, 0.000, 18.304, 0.000, 10.105, 9.024, 0.000, 
17, 1, 0, 10.934, 16.844, 8.638, 25.098, 5.709, 21.765, 20.384, 0.000, 17.952, 0.000, 7.317, 8.960, 0.000, 
17, 1, 0, 11.016, 16.070, 9.289, 24.809, 5.754, 21.381, 20.768, 0.000, 18.016, 0.000, 7.945, 9.472, 0.000, 
17, 1, 0, 10.928, 37.280, 8.944, 24.781, 5.545, 20.596, 20.384, 0.000, 17.856, 0.000, 7.872, 9.536, 0.000, 
17, 1, 0, 11.127, 16.134, 8.895, 24.358, 5.195, 20.795, 20.320, 0.000, 18.144, 0.000, 6.803, 9.152, 0.000, 
17, 1, 0, 11.056, 16.132, 8.733, 24.460, 5.141, 21.233, 20.320, 0.000, 17.984, 0.000, 7.429, 9.248, 0.000, 
18, 1, 0, 11.485, 17.282, 8.914, 25.892, 5.564, 22.563, 21.216, 0.000, 18.784, 0.000, 8.779, 9.472, 0.000, 
18, 1, 0, 11.594, 32.776, 9.376, 25.186, 5.389, 21.728, 21.184, 0.000, 19.040, 0.000, 7.501, 8.992, 0.000, 
18, 1, 0, 11.592, 17.394, 8.437, 26.819, 5.941, 22.660, 21.440, 0.000, 18.784, 0.000, 7.707, 9.600, 0.000, 
18, 1, 0, 11.476, 16.855, 9.044, 25.497, 5.100, 22.047, 21.312, 0.000, 18.912, 0.000, 7.718, 9.600, 0.000, 
